processador-2  | 2026-09-25T22:49:17.924356210Z 2026-09-25 22:49:17,923 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=72 (6.6 msg/s) alertas=3 duplicadas=0 por_particao={1: 31, 3: 41}
processador-2  | 2026-09-25T22:49:27.931557186Z 2026-09-25 22:49:27,930 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=70 (7.0 msg/s) alertas=0 duplicadas=0 por_particao={1: 30, 3: 40}
processador-2  | 2026-09-25T22:49:34.061747752Z 2026-09-25 22:49:34,061 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao temperatura_c=96.62 > limite 85.00 (partição=1 offset=116)
processador-2  | 2026-09-25T22:49:37.931098100Z 2026-09-25 22:49:37,930 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=72 (7.2 msg/s) alertas=1 duplicadas=0 por_particao={1: 31, 3: 41}
processador-2  | 2026-09-25T22:49:39.066792567Z 2026-09-25 22:49:39,066 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao energia_kw=58.54 > limite 45.00 (partição=3 offset=175)
processador-2  | 2026-09-25T22:49:44.930326436Z 2026-09-25 22:49:44,929 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m3 setor=empacotamento temperatura_c=97.31 > limite 85.00 (partição=3 offset=196)
processador-2  | 2026-09-25T22:49:46.928366956Z 2026-09-25 22:49:46,928 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m6 setor=empacotamento vibracao_mm_s=9.10 > limite 7.10 (partição=3 offset=205)
processador-2  | 2026-09-25T22:49:47.932919500Z 2026-09-25 22:49:47,932 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=69 (6.9 msg/s) alertas=3 duplicadas=0 por_particao={1: 30, 3: 39}
processador-2  | 2026-09-25T22:49:52.931907045Z 2026-09-25 22:49:52,931 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m3 setor=empacotamento energia_kw=48.25 > limite 45.00 (partição=3 offset=228)
processador-2  | 2026-09-25T22:49:57.933818064Z 2026-09-25 22:49:57,933 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=71 (7.1 msg/s) alertas=1 duplicadas=0 por_particao={1: 30, 3: 41}
