kafka-3-1  | 2026-09-25T22:48:46.115552058Z [2026-09-25 22:48:46,114] INFO [controller-3-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-3-1  | 2026-09-25T22:48:46.115849585Z [2026-09-25 22:48:46,115] INFO [ControllerServer id=3] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:46.116398068Z [2026-09-25 22:48:46,115] INFO [ControllerRegistrationManager id=3 incarnation=Npyux3jvRbiKKpBsS6SHrQ] initialized channel manager. (kafka.server.ControllerRegistrationManager)
kafka-3-1  | 2026-09-25T22:48:46.117885677Z [2026-09-25 22:48:46,117] INFO [ControllerRegistrationManager id=3 incarnation=Npyux3jvRbiKKpBsS6SHrQ] maybeSendControllerRegistration: cannot register yet because the metadata.version is not known yet. (kafka.server.ControllerRegistrationManager)
kafka-3-1  | 2026-09-25T22:48:46.118438617Z [2026-09-25 22:48:46,118] INFO [ControllerServer id=3] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:46.118704299Z [2026-09-25 22:48:46,118] INFO [ControllerServer id=3] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:46.118995298Z [2026-09-25 22:48:46,118] INFO [ControllerServer id=3] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:46.128609599Z [2026-09-25 22:48:46,124] INFO [BrokerServer id=3] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.130607503Z [2026-09-25 22:48:46,128] INFO [BrokerServer id=3] Starting broker (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.147486638Z [2026-09-25 22:48:46,147] INFO [broker-3-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:46.154546501Z [2026-09-25 22:48:46,150] INFO [broker-3-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:46.157007541Z [2026-09-25 22:48:46,156] INFO [broker-3-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:46.223188830Z [2026-09-25 22:48:46,222] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.227408606Z [2026-09-25 22:48:46,224] INFO [broker-3-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:46.273241187Z [2026-09-25 22:48:46,272] INFO [BrokerServer id=3] Waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.273534202Z [2026-09-25 22:48:46,273] INFO [BrokerServer id=3] Finished waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.281213879Z [2026-09-25 22:48:46,280] INFO [broker-3-to-controller-forwarding-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-3-1  | 2026-09-25T22:48:46.312557317Z [2026-09-25 22:48:46,311] INFO [client-metrics-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
kafka-3-1  | 2026-09-25T22:48:46.325975811Z [2026-09-25 22:48:46,324] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.410237245Z [2026-09-25 22:48:46,409] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-3-1  | 2026-09-25T22:48:46.426399216Z [2026-09-25 22:48:46,425] INFO [SocketServer listenerType=BROKER, nodeId=3] Created data-plane acceptor and processors for endpoint : ListenerName(PLAINTEXT) (kafka.network.SocketServer)
kafka-3-1  | 2026-09-25T22:48:46.434414405Z [2026-09-25 22:48:46,432] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.442967820Z [2026-09-25 22:48:46,441] INFO [broker-3-to-controller-alter-partition-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-3-1  | 2026-09-25T22:48:46.466075326Z [2026-09-25 22:48:46,464] INFO [broker-3-to-controller-directory-assignments-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-3-1  | 2026-09-25T22:48:46.479337829Z [2026-09-25 22:48:46,478] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.489064896Z [2026-09-25 22:48:46,488] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.497438264Z [2026-09-25 22:48:46,496] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.503330925Z [2026-09-25 22:48:46,502] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.508275395Z [2026-09-25 22:48:46,507] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.512935565Z [2026-09-25 22:48:46,512] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.538321708Z [2026-09-25 22:48:46,535] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.577755061Z [2026-09-25 22:48:46,576] INFO [BrokerServer id=3] Using no op persister (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.581236892Z [2026-09-25 22:48:46,579] INFO [group-coordinator-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
kafka-3-1  | 2026-09-25T22:48:46.621148571Z [2026-09-25 22:48:46,620] INFO [group-coordinator-event-processor-0]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-3-1  | 2026-09-25T22:48:46.622503331Z [2026-09-25 22:48:46,621] INFO [group-coordinator-event-processor-1]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-3-1  | 2026-09-25T22:48:46.626486994Z [2026-09-25 22:48:46,626] INFO [group-coordinator-event-processor-2]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-3-1  | 2026-09-25T22:48:46.629842624Z [2026-09-25 22:48:46,629] INFO [group-coordinator-event-processor-3]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-3-1  | 2026-09-25T22:48:46.637764249Z [2026-09-25 22:48:46,637] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.674426541Z [2026-09-25 22:48:46,673] INFO Unable to read the broker epoch in /var/lib/kafka/data. (kafka.log.LogManager)
kafka-3-1  | 2026-09-25T22:48:46.678283150Z [2026-09-25 22:48:46,677] INFO [broker-3-to-controller-heartbeat-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-3-1  | 2026-09-25T22:48:46.691421868Z [2026-09-25 22:48:46,690] INFO [BrokerLifecycleManager id=3] Incarnation uqaqhZicSL6Hd6WFs-M2Cw of broker 3 in cluster 5L6g3nShT-eMCtK--X86sw is now STARTING. (kafka.server.BrokerLifecycleManager)
kafka-3-1  | 2026-09-25T22:48:46.701150053Z [2026-09-25 22:48:46,700] INFO [share-group-lock-timeout-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
kafka-3-1  | 2026-09-25T22:48:46.706015028Z [2026-09-25 22:48:46,705] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.739387611Z [2026-09-25 22:48:46,738] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.751519996Z [2026-09-25 22:48:46,750] INFO [BrokerServer id=3] Waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.751702178Z [2026-09-25 22:48:46,751] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.752440702Z [2026-09-25 22:48:46,751] INFO [BrokerServer id=3] Finished waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.753578876Z [2026-09-25 22:48:46,752] INFO [BrokerServer id=3] Waiting for the controller to acknowledge that we are caught up (kafka.server.BrokerServer)
kafka-3-1  | 2026-09-25T22:48:46.801775962Z [2026-09-25 22:48:46,801] INFO [RaftManager id=3] Vote request VoteRequestData(clusterId='5L6g3nShT-eMCtK--X86sw', voterId=3, topics=[TopicData(topicName='__cluster_metadata', partitions=[PartitionData(partitionIndex=0, replicaEpoch=0, replicaId=2, replicaDirectoryId=zeqLTh4jufRaNO71n4EJ_g, voterDirectoryId=AAAAAAAAAAAAAAAAAAAAAA, lastOffsetEpoch=0, lastOffset=0, preVote=true)])]) with epoch 0 is granted (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:46.815272400Z [2026-09-25 22:48:46,813] INFO [RaftManager id=3] Vote request VoteRequestData(clusterId='5L6g3nShT-eMCtK--X86sw', voterId=3, topics=[TopicData(topicName='__cluster_metadata', partitions=[PartitionData(partitionIndex=0, replicaEpoch=0, replicaId=1, replicaDirectoryId=wTaYJkC9-g6QI1prbVCnFQ, voterDirectoryId=AAAAAAAAAAAAAAAAAAAAAA, lastOffsetEpoch=0, lastOffset=0, preVote=true)])]) with epoch 0 is granted (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:46.834835664Z [2026-09-25 22:48:46,834] INFO [RaftManager id=3] Attempting durable transition to UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=321, highWatermark=Optional.empty) from UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1348, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.851129002Z [2026-09-25 22:48:46,850] INFO [RaftManager id=3] Completed transition to UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=321, highWatermark=Optional.empty) from UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1348, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.852868979Z [2026-09-25 22:48:46,852] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.854645581Z [2026-09-25 22:48:46,854] INFO [RaftManager id=3] Attempting durable transition to UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional[ReplicaKey(id=2, directoryId=zeqLTh4jufRaNO71n4EJ_g)], voters=[1, 2, 3], electionTimeoutMs=1104, highWatermark=Optional.empty) from UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=321, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.869535731Z [2026-09-25 22:48:46,868] INFO [RaftManager id=3] Completed transition to UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional[ReplicaKey(id=2, directoryId=zeqLTh4jufRaNO71n4EJ_g)], voters=[1, 2, 3], electionTimeoutMs=1104, highWatermark=Optional.empty) from UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=321, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.870321193Z [2026-09-25 22:48:46,869] INFO [RaftManager id=3] Vote request VoteRequestData(clusterId='5L6g3nShT-eMCtK--X86sw', voterId=3, topics=[TopicData(topicName='__cluster_metadata', partitions=[PartitionData(partitionIndex=0, replicaEpoch=1, replicaId=2, replicaDirectoryId=zeqLTh4jufRaNO71n4EJ_g, voterDirectoryId=AAAAAAAAAAAAAAAAAAAAAA, lastOffsetEpoch=0, lastOffset=0, preVote=false)])]) with epoch 1 is granted (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:46.872088527Z [2026-09-25 22:48:46,871] INFO [RaftManager id=3] Vote request VoteRequestData(clusterId='5L6g3nShT-eMCtK--X86sw', voterId=3, topics=[TopicData(topicName='__cluster_metadata', partitions=[PartitionData(partitionIndex=0, replicaEpoch=1, replicaId=1, replicaDirectoryId=wTaYJkC9-g6QI1prbVCnFQ, voterDirectoryId=AAAAAAAAAAAAAAAAAAAAAA, lastOffsetEpoch=0, lastOffset=0, preVote=false)])]) with epoch 1 is rejected (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:46.883032719Z [2026-09-25 22:48:46,882] INFO [RaftManager id=3] Vote request VoteRequestData(clusterId='5L6g3nShT-eMCtK--X86sw', voterId=3, topics=[TopicData(topicName='__cluster_metadata', partitions=[PartitionData(partitionIndex=0, replicaEpoch=1, replicaId=1, replicaDirectoryId=wTaYJkC9-g6QI1prbVCnFQ, voterDirectoryId=AAAAAAAAAAAAAAAAAAAAAA, lastOffsetEpoch=0, lastOffset=0, preVote=true)])]) with epoch 1 is granted (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:46.899178143Z [2026-09-25 22:48:46,898] INFO [RaftManager id=3] Attempting durable transition to UnattachedState(epoch=2, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1060, highWatermark=Optional.empty) from UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional[ReplicaKey(id=2, directoryId=zeqLTh4jufRaNO71n4EJ_g)], voters=[1, 2, 3], electionTimeoutMs=1104, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.924456865Z [2026-09-25 22:48:46,923] INFO [RaftManager id=3] Completed transition to UnattachedState(epoch=2, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1060, highWatermark=Optional.empty) from UnattachedState(epoch=1, leaderId=OptionalInt.empty, votedKey=Optional[ReplicaKey(id=2, directoryId=zeqLTh4jufRaNO71n4EJ_g)], voters=[1, 2, 3], electionTimeoutMs=1104, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.926755208Z [2026-09-25 22:48:46,926] INFO [RaftManager id=3] Attempting durable transition to UnattachedState(epoch=2, leaderId=OptionalInt.empty, votedKey=Optional[ReplicaKey(id=1, directoryId=wTaYJkC9-g6QI1prbVCnFQ)], voters=[1, 2, 3], electionTimeoutMs=1369, highWatermark=Optional.empty) from UnattachedState(epoch=2, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1060, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-3-1  | 2026-09-25T22:48:46.952639432Z [2026-09-25 22:48:46,952] INFO [RaftManager id=3] Completed transition to UnattachedState(epoch=2, leaderId=OptionalInt.empty, votedKey=Optional[ReplicaKey(id=1, directoryId=wTaYJkC9-g6QI1prbVCnFQ)], voters=[1, 2, 3], electionTimeoutMs=1369, highWatermark=Optional.empty) from UnattachedState(epoch=2, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1060, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
